station_code,station_name,lat,lon,municipality_sk,municipality_name,province_sk,number_of_monuments
GDM,Geldermalsen,51.88301,5.27127,6da37dd3139aa4d9aa55b8d237ec5d4a,West Betuwe,1679091c5a880faf6fb5e6087eb1b2dc,323
SRN,Susteren,51.061389923096,5.8630557060242,0f49c89d1e7298bb9930789c8ed59d48,Echt-Susteren,c20ad4d76fe97759aa27a0c99bff6710,61
HGLG,Hengelo Gezondheidspark,52.261667,6.767778,c16a5320fa475530d9583c34fd356ef5,Hengelo (O.),a87ff679a2f3e71d9181a67b7542122c,77
DT,Delft,52.00666809082,4.3563890457153,0a09c8844ba8f0936c20bd791130d6b6,Delft,45c48cce2e2d7fbdea1afc51c7c6ad26,696
BV,Beverwijk,52.478332519531,4.6566667556763,2723d092b63885e0d7c260cc007e8b9d,Beverwijk,c9f0f895fb98ab9159f51fd0297e236d,41
EML,Ermelo,52.301666259766,5.6147222518921,66f041e16a60928b05a7e228a89c3799,Ermelo,1679091c5a880faf6fb5e6087eb1b2dc,95
GVC,Den Haag Centraal,52.080276489258,4.3249998092651,47d1e990583c9c67424d369f3414728e,'s-Gravenhage,45c48cce2e2d7fbdea1afc51c7c6ad26,1164
HM,Helmond,51.475555419922,5.6619443893433,69adc1e107f7f7d035d7baf04342e1ca,Helmond,6512bd43d9caa6e02c990b0a82652dca,74
WTV,Westervoort,51.96286,5.9695,fbd7939d674997cdb4692d34de8633c4,Westervoort,1679091c5a880faf6fb5e6087eb1b2dc,5
DVN,Duiven,51.943332672119,6.0147223472595,a684eceee76fc522773286a895bc8436,Duiven,1679091c5a880faf6fb5e6087eb1b2dc,12
EKZ,Enkhuizen,52.699165344238,5.286388874054,2b44928ae11fb9384c4cf38708677c48,Enkhuizen,c9f0f895fb98ab9159f51fd0297e236d,361
LC,Lochem,52.166667938232,6.4263887405395,03afdbd66e7929b125f8597834fa83a4,Lochem,1679091c5a880faf6fb5e6087eb1b2dc,194
SDT,Sliedrecht,51.829723358154,4.7783331871033,006f52e9102a8d3be2fe5614f42ba989,Sliedrecht,45c48cce2e2d7fbdea1afc51c7c6ad26,8
HR,Heerenveen,52.961387634277,5.9141664505005,45c48cce2e2d7fbdea1afc51c7c6ad26,Heerenveen,c81e728d9d4c2f636f067f89cc14862c,156
ATN,Aalten,51.921326524551,6.5786272287369,17e62166fc8586dfa4d1bc0e1742c08b,Aalten,1679091c5a880faf6fb5e6087eb1b2dc,62
VZ,Vriezenveen,52.40203,6.60041,20f07591c6fcb220ffe637cda29bb3f6,Twenterand,a87ff679a2f3e71d9181a67b7542122c,25
LDM,Leerdam,51.894721984863,5.0913887023926,c042f4db68f23406c6cecf84a7ebb0fe,Vijfheerenlanden,8f14e45fceea167a5a36dedd4bea2543,342
VK,Valkenburg,50.869720458984,5.8322219848633,03c6b06952c750899bb03d998e631860,Valkenburg aan de Geul,c20ad4d76fe97759aa27a0c99bff6710,181
WH,Wijhe,52.390277862549,6.1405553817749,26e359e83860db1d11b6acca57d8ea88,Olst-Wijhe,a87ff679a2f3e71d9181a67b7542122c,114
HKS,Hoogkarspel,52.69055557251,5.1838889122009,a8baa56554f96369ab93e4f3bb068c22,Drechterland,c9f0f895fb98ab9159f51fd0297e236d,61
APN,Alphen a/d Rijn,52.124443054199,4.6577777862549,1385974ed5904a438616ff7bdb3f7439,Alphen aan den Rijn,45c48cce2e2d7fbdea1afc51c7c6ad26,168
BSK,Boskoop,52.077777862549,4.6469445228577,1385974ed5904a438616ff7bdb3f7439,Alphen aan den Rijn,45c48cce2e2d7fbdea1afc51c7c6ad26,168
HRT,Horst-Sevenum,51.426387786865,6.0422220230103,c52f1bd66cc19d05628bd8bf27af3ad6,Horst aan de Maas,c20ad4d76fe97759aa27a0c99bff6710,86
LTV,Lichtenvoorde-Groenlo,52.01188,6.59641,502e4a16930e414107ee22b6198c578f,Oost Gelre,1679091c5a880faf6fb5e6087eb1b2dc,41
RSW,Rijswijk,52.039722442627,4.3191666603088,7e7757b1e12abcb736ab9a754ffb617a,Rijswijk (ZH.),45c48cce2e2d7fbdea1afc51c7c6ad26,88
CPS,Capelle Schollevaar,51.954166412354,4.5841665267944,903ce9225fca3e988c2af215d4e544d3,Capelle aan den IJssel,45c48cce2e2d7fbdea1afc51c7c6ad26,17
RSN,Rijssen,52.3122215271,6.5202779769897,d296c101daa88a51f6ca8cfc1ac79b50,Rijssen-Holten,a87ff679a2f3e71d9181a67b7542122c,31
DA,Daarlerveen,52.4407702,6.5759947,34173cb38f07f89ddbebc2ac9128303f,Hellendoorn,a87ff679a2f3e71d9181a67b7542122c,30
BMR,Boxmeer,51.644521767653,5.9390330314636,40008b9a5380fcacce3976bf7c08af5b,Land van Cuijk,6512bd43d9caa6e02c990b0a82652dca,497
HWD,Heerhugowaard,52.669723510742,4.8227777481079,04025959b191f8f9de3f924f0940515f,Dijk en Waard,c9f0f895fb98ab9159f51fd0297e236d,17
ANA,Anna Paulowna,52.867221832275,4.8111109733581,ad13a2a07ca4b7642959dc0c4c740ab6,Hollands Kroon,c9f0f895fb98ab9159f51fd0297e236d,128
UHZ,Uithuizen,53.4099568,6.6748869,2f2b265625d76a6704b08093c652fd79,Het Hogeland,c4ca4238a0b923820dcc509a6f75849b,562
ZLW,Lage Zwaluwe,51.69111251831,4.6630554199219,6a9aeddfc689c1d0e3b9ccc3ab651bc5,Moerdijk,6512bd43d9caa6e02c990b0a82652dca,122
EC,Echt,51.100555419922,5.8788890838623,0f49c89d1e7298bb9930789c8ed59d48,Echt-Susteren,c20ad4d76fe97759aa27a0c99bff6710,61
BRD,Barendrecht,51.854721069336,4.5533332824707,0f28b5d49b3020afeecd95b4009adf4c,Barendrecht,45c48cce2e2d7fbdea1afc51c7c6ad26,20
NS,Nunspeet,52.370834350586,5.7852778434753,9778d5d219c5080b9a6a17bef029331c,Nunspeet,1679091c5a880faf6fb5e6087eb1b2dc,65
DMN,Diemen,52.34515,4.967566,73278a4a86960eeb576a8fd4c9ec6997,Diemen,c9f0f895fb98ab9159f51fd0297e236d,17
GS,Goes,51.498054504395,3.8905556201935,8f53295a73878494e9bc8dd6c3c7104f,Goes,d3d9446802a44259755d38e6d163e820,243
HDR,Den Helder,52.955276489258,4.7611112594605,4c56ff4ce4aaf9573aa5dff913df997a,Den Helder,c9f0f895fb98ab9159f51fd0297e236d,44
MT,Maastricht,50.850276947021,5.7055554389954,335f5352088d7d9bf74191e006d8e24c,Maastricht,c20ad4d76fe97759aa27a0c99bff6710,1674
GR,Gorinchem,51.833889007568,4.9683332443237,a5e00132373a7031000fd987a3c9f87b,Gorinchem,45c48cce2e2d7fbdea1afc51c7c6ad26,217
ZTM,Zoetermeer,52.047500610352,4.4772224426269,82161242827b703e6acf9c726942a1e4,Zoetermeer,45c48cce2e2d7fbdea1afc51c7c6ad26,16
ZV,Zevenaar,51.923053741455,6.0719442367554,f033ab37c30201f73f142449d037028d,Zevenaar,1679091c5a880faf6fb5e6087eb1b2dc,94
MP,Meppel,52.69083404541,6.1975002288818,b6d767d2f8ed5d21a44b0e5886680cb9,Meppel,eccbc87e4b5ce2fe28308fd9f2a7baf3,86
BD,Breda,51.595554351807,4.7800002098083,85d8ce590ad8981ca2c8286f79f59954,Breda,6512bd43d9caa6e02c990b0a82652dca,546
WAD,Waddinxveen,52.044166564941,4.6497220993042,1ff8a7b5dc7a7d1f0ed65aaa29c04b1e,Waddinxveen,45c48cce2e2d7fbdea1afc51c7c6ad26,6
SHL,Schiphol Airport,52.30944442749,4.7619442939758,eb160de1de89d9058fcb0b968dbbbd68,Haarlemmermeer,c9f0f895fb98ab9159f51fd0297e236d,36
ODZ,Oldenzaal,52.30638885498,6.9347224235535,1c383cd30b7c298ab50293adfecb7b18,Oldenzaal,a87ff679a2f3e71d9181a67b7542122c,22
DN,Deurne,51.455833435059,5.7888889312744,0e65972dce68dad4d52d063967f0a705,Deurne,6512bd43d9caa6e02c990b0a82652dca,56
